term,1550-1600,1650-1700,1700-1750,1750-1800,1800-1850
muncile,True,False,True,False,False
înveațe,True,False,True,False,False
luați,True,False,True,False,False
cinste,True,False,True,False,False
mearseră,True,False,True,False,False
voe,False,False,True,False,True
dintîiu,False,False,True,True,False
pocaanie,True,False,True,False,False
spre,True,False,True,True,True
înțeleage,True,False,True,False,False
stă,True,False,True,True,False
aceștii,True,False,False,True,False
vorbelor,False,False,False,True,True
loc,True,False,True,False,True
iubit,False,False,True,False,True
tatălui,True,False,True,False,False
trup,True,False,True,True,False
pa,True,False,True,False,False
tot$,False,False,True,True,False
lîngă,False,False,True,True,True
ascultați,True,False,True,False,False
înaintea,True,False,True,True,False
dela,False,False,True,False,True
fost,True,False,True,True,False
pus,True,False,True,False,True
mărit,True,False,False,False,True
lucruri,True,False,True,False,True
tele,True,False,False,True,False
ze,True,False,False,False,True
învie,True,False,True,False,False
înțeles,True,False,True,False,False
spurcată,True,False,True,False,False
după,True,False,True,False,True
acum,False,False,True,True,True
mînă,False,False,True,False,True
robilor,True,False,True,False,False
pre,True,False,True,True,True
arătară,True,False,True,False,False
ales,True,False,False,True,True
celui,False,False,True,True,True
îngerul,True,False,True,False,False
prea,True,False,True,False,True
spăsi,True,False,True,False,False
omenească,True,False,False,True,False
spune,True,False,True,True,True
veaci,True,False,True,False,False
agiunge,False,False,True,True,False
veselie,True,False,True,False,True
dar,False,False,True,True,True
bunul,True,False,True,False,False
fiiu,True,False,True,False,False
pute,True,False,False,False,True
mă,True,False,True,False,True
acestea,True,False,False,True,False
pătru,True,False,True,False,False
fiind,True,False,True,True,True
dată,False,False,True,True,False
poartă,True,False,True,False,False
și,True,False,True,True,True
întreba,True,False,True,False,False
cununa,True,False,True,False,False
guri,False,False,True,False,True
să_l,True,False,True,False,True
dînsa,False,False,True,False,True
minte,True,False,True,True,True
fac,True,False,True,True,False
decît,True,False,True,False,True
scriptură,True,False,True,False,False
avem,True,False,True,False,False
celor,True,False,True,True,False
îngeri,True,False,True,False,False
sufletu,True,False,True,False,False
însăși,False,False,True,False,True
răspunse,True,False,True,False,False
grăi,True,False,True,False,False
rostul,True,False,True,False,False
duse,True,False,True,False,False
